2024-09-24 21:21:50,331 INFO    MainThread:34922 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_setup.py:_flush():77] Configure stats pid to 34922
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_setup.py:_flush():77] Loading settings from /Users/akshay/.config/wandb/settings
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_setup.py:_flush():77] Loading settings from /Users/akshay/Desktop/DSU/wandb/settings
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'cot.py', 'program_abspath': '/Users/akshay/Desktop/DSU/cot.py', 'program': '/Users/akshay/Desktop/DSU/cot.py'}
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_init.py:_log_setup():532] Logging user logs to /Users/akshay/Desktop/DSU/wandb/run-20240924_212150-k1m1v3ht/logs/debug.log
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/akshay/Desktop/DSU/wandb/run-20240924_212150-k1m1v3ht/logs/debug-internal.log
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_init.py:init():616] calling init triggers
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_init.py:init():666] starting backend
2024-09-24 21:21:50,332 INFO    MainThread:34922 [wandb_init.py:init():670] setting up manager
2024-09-24 21:21:50,334 INFO    MainThread:34922 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-24 21:21:50,336 INFO    MainThread:34922 [wandb_init.py:init():678] backend started and connected
2024-09-24 21:21:50,339 INFO    MainThread:34922 [wandb_init.py:init():773] updated telemetry
2024-09-24 21:21:50,340 INFO    MainThread:34922 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-24 21:21:50,812 INFO    MainThread:34922 [wandb_init.py:init():857] starting run threads in backend
2024-09-24 21:21:50,872 INFO    MainThread:34922 [wandb_run.py:_console_start():2459] atexit reg
2024-09-24 21:21:50,872 INFO    MainThread:34922 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-24 21:21:50,872 INFO    MainThread:34922 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-24 21:21:50,872 INFO    MainThread:34922 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-24 21:21:50,874 INFO    MainThread:34922 [wandb_init.py:init():900] run started, returning control to user process
2024-09-24 21:23:22,791 WARNING MsgRouterThr:34922 [router.py:message_loop():77] message_loop has been closed
