2024-09-24 22:36:03,291 INFO    MainThread:65151 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_setup.py:_flush():77] Configure stats pid to 65151
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_setup.py:_flush():77] Loading settings from /Users/akshay/.config/wandb/settings
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_setup.py:_flush():77] Loading settings from /Users/akshay/Desktop/DSU/wandb/settings
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'cot2.py', 'program_abspath': '/Users/akshay/Desktop/DSU/cot2.py', 'program': '/Users/akshay/Desktop/DSU/cot2.py'}
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_init.py:_log_setup():532] Logging user logs to /Users/akshay/Desktop/DSU/wandb/run-20240924_223603-bgp54xqv/logs/debug.log
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/akshay/Desktop/DSU/wandb/run-20240924_223603-bgp54xqv/logs/debug-internal.log
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_init.py:init():616] calling init triggers
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_init.py:init():666] starting backend
2024-09-24 22:36:03,292 INFO    MainThread:65151 [wandb_init.py:init():670] setting up manager
2024-09-24 22:36:03,293 INFO    MainThread:65151 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-24 22:36:03,294 INFO    MainThread:65151 [wandb_init.py:init():678] backend started and connected
2024-09-24 22:36:03,297 INFO    MainThread:65151 [wandb_init.py:init():773] updated telemetry
2024-09-24 22:36:03,315 INFO    MainThread:65151 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-24 22:36:03,927 INFO    MainThread:65151 [wandb_init.py:init():857] starting run threads in backend
2024-09-24 22:36:03,979 INFO    MainThread:65151 [wandb_run.py:_console_start():2459] atexit reg
2024-09-24 22:36:03,979 INFO    MainThread:65151 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-24 22:36:03,979 INFO    MainThread:65151 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-24 22:36:03,979 INFO    MainThread:65151 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-24 22:36:03,981 INFO    MainThread:65151 [wandb_init.py:init():900] run started, returning control to user process
2024-09-24 22:36:27,402 INFO    MainThread:65151 [wandb_run.py:_finish():2158] finishing run aksh9881-shri-madhwa-vadiraja-institute-of-technology-an/advanced-cot-training/bgp54xqv
2024-09-24 22:36:27,402 INFO    MainThread:65151 [wandb_run.py:_atexit_cleanup():2422] got exitcode: 0
2024-09-24 22:36:27,403 INFO    MainThread:65151 [wandb_run.py:_restore():2404] restore
2024-09-24 22:36:27,403 INFO    MainThread:65151 [wandb_run.py:_restore():2410] restore done
2024-09-24 22:36:35,636 INFO    MainThread:65151 [wandb_run.py:_footer_history_summary_info():4037] rendering history
2024-09-24 22:36:35,637 INFO    MainThread:65151 [wandb_run.py:_footer_history_summary_info():4069] rendering summary
2024-09-24 22:36:35,648 INFO    MainThread:65151 [wandb_run.py:_footer_sync_info():3996] logging synced files
